nombre,autor
DON QUIJOTE DE LA MANCHA, Miguel de Cervantes
EN BUSCA DEL TIEMPO PERDIDO, Marcel Proust
ODISEA, Homero
EL PROCESO, Franz Kafka
LA METAMORFOSIS, Franz Kafka
ANA KERENINA, León Tolstói
MOBY DICK, Herman Melville
CUENTOS, Antón Chéjov
GUERRA Y PAZ, León Tolstói
FICCIONES, Jorge Luis Borges
POETA EN NUEVA YORK, Federico García Lorca.
LOS HERMANOS KARAMAZOV, Fiódor Dostoievski
CRIMEN Y CASTIGO, Fiódor Dostoievski
LA BIBLIA,
LA MONTAÑA MÁGICA, Thomas Mann
PEDRO PÁRAMO, Juan Ruflo
ULISES, James Joyce
EL RUIDO Y LA FURIA, William Faulkner
MADAME BOVARY, Gustave Flaubert
LAS MIL Y UNA NOCHES,
BAJO EL VOLCÁN, Malcolm Lowry
LA MUERTE DE VIRGILIO, Hermann Broch.
ENSAYOS, Michel de Montaigne
LOLITA, Vladimir Nabokov
ROJO Y NEGRO, Stendhal
EL ALEPH, Jorge Luis Borges
TRISTAM SHANDY, Laurence Sterne
EL CORAZON ES UN CAZADOR SOLITARIO, Carson McCullers
EL CORAZON DE LAS TINIEBLAS, Joseph Conrad
LAS FLORES DEL MAL, Charles Baudelaire
EL BANQUETE, Platón
EL GUARDIAN ENTRE EL CENTENO, J.D. Salinger
LA EDUCACIÓN SENTIMENTAL, Gustave Flaubert
ELEGÍAS DE DUINO, Rainer Maria Rilker
RIMAS Y LEYENDAS, Gustavo Adolfo Bequer
EL OFICIO DE VIVIR, Cesare Pavese
EL LIBRO DEL DESASOSIEGO, Fernando Pessoa
OBRA COMPLETA, Jorge Luis Borges
ASÍ HABLÓ ZARATUSTRA, Friederich Nietzsche
LA ISLA DEL TESORO, Robert Louis Stevenson
RAYUELA, Julio Cortázar
FORTUNA Y JACINTA, Benito Pérez Galdós
HISTORIAS EXTRAORDINARIAS, Edgar Allan Poe
LA CIUDAD Y LOS PERROS, Mario Vargas Llosa
LA TIERRA BALDÍA, T.S. Elilot
METAMORFOSIS, Ovidio
POEMAS, Emily Dickinson
EL REY LEAR, William Shakespeare
HAMLET, William Shakespeare
TRILCE, César Vallejo
EL EXTRANJERO, Albert Camus
¡ABSALÓN ABSALÓN!, William Faulkner
ODAS, Horacio
EL LARGO ADIÓS, Raymond Chandler
EL IDIOTA, Fiódor Dostoievski
EL ASTILLERO, Juan Carlos Onetti
EL PRIMER HOMBRE, Albert Camus
EL HACEDOR, Jorge Luis Borges
CIEN AÑOS DE SOLEDAD, Gabriel García Márquez
LA DIVINA COMEDIA, Dante Alighieri
LA REGENTA, Leopoldo Alas Clarín
LAS OLAS, Virginia Woolf
MIENTRAS AGONIZO, William Faulkner
DIARIOS, Franz Kafka
LA CELESTINA, Fernando de Rojas
RICARDO III, William Shakespeare
RESIDENCIA EN LA TIERRA, Pablo Neruda
DEMIAN, Herman Hesse
DR. JEKYLL Y MR. HYDE, Robert Louis Stevenson
CONVERSACIÓN EN LA CATEDRAL, Mario Vargas Llosa
ORGULLO Y PREJUICIO, Jane Austen
EL GATOPARDO, Giussepe Tomasi di Lampedusa
LORD JIM, Joseph Conrad
LAZARILLO DE TORMES, Anónimo
VIAJE AL FIN DE LA NOCHE, Louis Ferdinand Céline
CANTO GENERAL, Pablo Neruda
ILIADA, Homero
LUCES DE BOHEMIA, Ramón María del Valle-Inclán
LA GUERRA DEL FIN DEL MUNDO, Mario Vargas Llosa
ALICIA EN EL PAÍS DE LAS MARAVILLAS, Lewis Carroll
AFORISMOS, G.C. Lichtenberg
MANIFIESTO COMUNISTA, Karl Marx
MORTAL Y ROSA, Francisco Umbral
DUBLINESES, James Joyce
EL GRAN GATSBY, F. Scott Fitzgerald
PETER PAN, James Matthew Barrie
SONETOS, Quevedo
LA TIA JULIA Y EL ESCRIBIDOR, Mario Vargas Llosa
DAVID COPPERFIELD, Charles Dickens
EL CUARTETO DE ALEJANDRÍA, Lawrence Durrell
LA CAÍDA, Albert Camus
ORLANDO, Virginia Woolf
LOS INCONSOLABLES, Kazuo Ishiguro
ESPACIO, Juan Ramón Jiménez
EL MAESTRO Y MARGARITA, Mijaíl Bulgakov
EL JARDÍN DE LOS FINZI CONTINI, Giorgio Bassani
PALMERAS SALVAJES, William Faulkner
HARRI ETA HERRI (PIEDRA Y PUEBLO), Gabriel Aresti
OBRAS COMPLETAS, Pío Baroja
EL SEGUNDO SEXO, Simone de Beauvoir
